Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
2109,14-10-2024,12-10-2024,12-10-2024 20:46,Jaipur,102,Robbery,32,M,Knife,Property Crime,6,0,
2110,29-10-2024,26-10-2024,26-10-2024 21:53,Delhi,100,Assault,25,M,Knife,Violent Crime,5,1,07-05-2025
2111,03-07-2025,03-07-2025,03-07-2025 12:53,Ahmedabad,101,Theft,13,F,None,Property Crime,8,0,
2112,16-11-2024,16-11-2024,16-11-2024 22:44,Chennai,102,Robbery,31,F,Blunt Object,Property Crime,4,0,
2113,07-04-2025,07-04-2025,07-04-2025 17:54,Delhi,106,Kidnapping,30,M,None,Violent Crime,4,0,
2114,26-02-2025,24-02-2025,24-02-2025 09:14,Bangalore,103,Homicide,43,F,Knife,Violent Crime,15,0,
2115,03-01-2025,02-01-2025,02-01-2025 21:19,Ahmedabad,101,Theft,11,M,None,Property Crime,5,1,17-01-2025
2116,30-08-2024,28-08-2024,28-08-2024 16:51,Mumbai,104,Cyber Crime,29,M,None,Other Crime,7,1,19-10-2024
2117,14-09-2024,11-09-2024,11-09-2024 00:21,Bangalore,101,Theft,41,M,None,Property Crime,3,0,
2118,08-09-2024,07-09-2024,07-09-2024 15:48,Bangalore,100,Assault,28,F,Blunt Object,Violent Crime,4,1,27-05-2025
2119,30-11-2024,28-11-2024,28-11-2024 01:54,Chennai,101,Theft,31,F,None,Property Crime,7,0,
2120,30-08-2024,29-08-2024,29-08-2024 00:12,Ludhiana,102,Robbery,20,M,Knife,Property Crime,5,0,
2121,05-04-2025,05-04-2025,05-04-2025 02:54,Hyderabad,100,Assault,36,F,Knife,Violent Crime,3,0,
2122,26-11-2024,23-11-2024,23-11-2024 14:51,Hyderabad,105,Vandalism,12,F,None,Property Crime,8,0,
2123,12-05-2025,11-05-2025,11-05-2025 01:40,Kolkata,100,Assault,33,F,Knife,Violent Crime,5,1,08-06-2025
2124,08-11-2024,06-11-2024,06-11-2024 09:32,Chennai,101,Theft,22,M,None,Property Crime,3,0,
2125,27-11-2024,24-11-2024,24-11-2024 20:56,Delhi,101,Theft,10,M,Other,Property Crime,2,1,27-06-2025
2126,12-05-2025,10-05-2025,10-05-2025 23:34,Chennai,102,Robbery,13,F,Knife,Property Crime,4,0,
2127,27-02-2025,27-02-2025,27-02-2025 10:36,Delhi,103,Homicide,38,F,Knife,Violent Crime,15,1,08-06-2025
2128,20-10-2024,18-10-2024,18-10-2024 17:23,Bangalore,105,Vandalism,21,M,None,Property Crime,8,1,07-12-2024
2129,10-03-2025,10-03-2025,10-03-2025 20:30,Delhi,102,Robbery,23,M,Knife,Property Crime,2,1,01-08-2025
2130,23-06-2025,22-06-2025,22-06-2025 12:27,Kolkata,101,Theft,24,F,None,Property Crime,5,0,
2131,11-12-2024,08-12-2024,08-12-2024 03:27,Pune,102,Robbery,10,M,Blunt Object,Property Crime,5,1,24-01-2025
2132,23-09-2024,21-09-2024,21-09-2024 20:39,Chennai,103,Homicide,10,F,Firearm,Violent Crime,15,0,
2133,25-04-2025,22-04-2025,22-04-2025 23:23,Delhi,101,Theft,31,M,None,Property Crime,4,0,
2134,27-06-2025,25-06-2025,25-06-2025 03:52,Hyderabad,102,Robbery,31,M,Blunt Object,Property Crime,8,1,30-06-2025
2135,23-02-2025,22-02-2025,22-02-2025 23:03,Chennai,102,Robbery,21,M,Firearm,Property Crime,10,0,
2136,05-12-2024,05-12-2024,05-12-2024 02:07,Hyderabad,103,Homicide,42,M,Knife,Violent Crime,15,0,
2137,10-07-2025,07-07-2025,07-07-2025 19:48,Kolkata,105,Vandalism,23,F,Other,Property Crime,5,0,
2138,14-08-2024,14-08-2024,14-08-2024 18:29,Ahmedabad,101,Theft,39,F,Other,Property Crime,2,0,
2139,05-05-2025,03-05-2025,03-05-2025 15:26,Kolkata,104,Cyber Crime,32,M,None,Other Crime,7,1,02-08-2025
2140,21-07-2025,20-07-2025,20-07-2025 01:40,Chennai,101,Theft,35,M,Other,Property Crime,4,1,29-07-2025
2141,22-06-2025,21-06-2025,21-06-2025 14:43,Jaipur,101,Theft,22,F,None,Property Crime,7,0,
2142,07-05-2025,06-05-2025,06-05-2025 21:33,Delhi,101,Theft,30,M,None,Property Crime,6,0,
2143,15-10-2024,12-10-2024,12-10-2024 07:00,Hyderabad,106,Kidnapping,19,M,Blunt Object,Violent Crime,2,1,25-04-2025
2144,14-09-2024,11-09-2024,11-09-2024 13:50,Chennai,102,Robbery,15,F,Knife,Property Crime,4,1,20-01-2025
2145,20-08-2024,18-08-2024,18-08-2024 15:23,Delhi,100,Assault,43,M,Knife,Violent Crime,2,0,
2146,26-01-2025,26-01-2025,26-01-2025 22:49,Chennai,104,Cyber Crime,32,M,None,Other Crime,3,1,03-03-2025
2147,16-04-2025,14-04-2025,14-04-2025 19:45,Delhi,100,Assault,36,M,Blunt Object,Violent Crime,6,1,14-06-2025
2148,21-10-2024,19-10-2024,19-10-2024 18:24,Mumbai,101,Theft,30,F,None,Property Crime,4,0,
2149,17-09-2024,15-09-2024,15-09-2024 13:13,Hyderabad,101,Theft,31,M,None,Property Crime,8,0,
2150,16-03-2025,15-03-2025,15-03-2025 00:26,Hyderabad,100,Assault,28,F,Blunt Object,Violent Crime,3,1,07-06-2025
2151,08-09-2024,06-09-2024,06-09-2024 23:08,Hyderabad,100,Assault,32,M,None,Violent Crime,5,0,
2152,04-03-2025,01-03-2025,01-03-2025 21:11,Hyderabad,100,Assault,31,F,None,Violent Crime,8,1,17-07-2025
2153,07-05-2025,04-05-2025,04-05-2025 22:46,Mumbai,107,Terrorism,33,M,Explosives,Violent Crime,20,0,
2154,01-01-2025,30-12-2024,30-12-2024 08:42,Kolkata,102,Robbery,45,M,Blunt Object,Property Crime,5,1,27-03-2025
2155,04-01-2025,02-01-2025,02-01-2025 06:17,Mumbai,102,Robbery,33,M,Blunt Object,Property Crime,4,0,
2156,09-05-2025,06-05-2025,06-05-2025 02:36,Hyderabad,107,Terrorism,27,F,Explosives,Violent Crime,20,0,
2157,17-05-2025,14-05-2025,14-05-2025 21:23,Bangalore,101,Theft,28,M,None,Property Crime,6,1,19-07-2025
2158,07-10-2024,06-10-2024,06-10-2024 01:40,Mumbai,100,Assault,27,M,None,Violent Crime,4,0,
2159,06-10-2024,06-10-2024,06-10-2024 21:11,Bangalore,103,Homicide,37,M,Firearm,Violent Crime,15,1,09-04-2025
2160,03-07-2025,30-06-2025,30-06-2025 21:08,Mumbai,100,Assault,30,M,Blunt Object,Violent Crime,3,0,
2161,04-09-2024,03-09-2024,03-09-2024 19:26,Delhi,101,Theft,22,F,None,Property Crime,3,1,12-12-2024
2162,05-08-2025,04-08-2025,04-08-2025 14:48,Jaipur,101,Theft,27,M,Other,Property Crime,5,1,04-08-2025
2163,02-12-2024,30-11-2024,30-11-2024 15:36,Hyderabad,105,Vandalism,32,F,None,Property Crime,6,1,26-06-2025
2164,20-06-2025,20-06-2025,20-06-2025 03:38,Ahmedabad,105,Vandalism,33,F,Other,Property Crime,4,1,11-07-2025
2165,15-07-2025,12-07-2025,12-07-2025 03:46,Bangalore,101,Theft,26,M,Other,Property Crime,8,0,
2166,03-03-2025,03-03-2025,03-03-2025 23:32,Mumbai,102,Robbery,19,M,Knife,Property Crime,2,0,
2167,22-08-2024,22-08-2024,22-08-2024 14:10,Bangalore,101,Theft,30,M,Other,Property Crime,7,0,
2168,21-11-2024,21-11-2024,21-11-2024 09:20,Chennai,106,Kidnapping,28,M,None,Violent Crime,6,1,17-02-2025
2169,10-02-2025,08-02-2025,08-02-2025 20:10,Chennai,102,Robbery,35,F,Firearm,Property Crime,10,0,
2170,09-12-2024,07-12-2024,07-12-2024 01:24,Mumbai,100,Assault,28,M,None,Violent Crime,6,0,
2171,08-08-2024,07-08-2024,07-08-2024 14:07,Kolkata,101,Theft,32,F,None,Property Crime,4,1,10-03-2025
2172,14-11-2024,11-11-2024,11-11-2024 23:47,Delhi,105,Vandalism,27,F,None,Property Crime,4,0,
2173,29-03-2025,29-03-2025,29-03-2025 23:53,Delhi,102,Robbery,21,M,Firearm,Property Crime,10,1,26-05-2025
2174,24-10-2024,24-10-2024,24-10-2024 22:47,Chennai,102,Robbery,32,F,Firearm,Property Crime,10,0,
2175,03-04-2025,03-04-2025,03-04-2025 08:11,Delhi,100,Assault,18,M,Knife,Violent Crime,8,1,25-05-2025
2176,17-04-2025,15-04-2025,15-04-2025 12:51,Ahmedabad,107,Terrorism,29,F,Firearm,Violent Crime,20,1,13-07-2025
2177,11-01-2025,11-01-2025,11-01-2025 10:29,Mumbai,100,Assault,37,M,Blunt Object,Violent Crime,8,0,
2178,30-12-2024,30-12-2024,30-12-2024 11:00,Mumbai,101,Theft,51,M,Other,Property Crime,6,0,
2179,08-07-2025,05-07-2025,05-07-2025 00:35,Delhi,107,Terrorism,26,F,Explosives,Violent Crime,20,0,
2180,23-02-2025,22-02-2025,22-02-2025 03:34,Hyderabad,107,Terrorism,40,M,Explosives,Violent Crime,20,1,07-05-2025
2181,25-02-2025,22-02-2025,22-02-2025 11:09,Mumbai,100,Assault,32,M,None,Violent Crime,7,0,
2182,23-04-2025,23-04-2025,23-04-2025 02:10,Chennai,106,Kidnapping,21,F,None,Violent Crime,6,0,
2183,22-01-2025,19-01-2025,19-01-2025 19:28,Pune,100,Assault,25,M,Blunt Object,Violent Crime,3,1,06-02-2025
2184,24-01-2025,23-01-2025,23-01-2025 18:52,Hyderabad,103,Homicide,27,M,Knife,Violent Crime,15,1,02-02-2025
2185,27-07-2025,24-07-2025,24-07-2025 21:25,Hyderabad,101,Theft,18,F,None,Property Crime,2,0,
2186,27-02-2025,27-02-2025,27-02-2025 14:03,Bangalore,101,Theft,28,F,None,Property Crime,5,0,
2187,31-08-2024,28-08-2024,28-08-2024 03:42,Mumbai,100,Assault,51,F,Knife,Violent Crime,7,0,
2188,29-09-2024,27-09-2024,27-09-2024 14:26,Chennai,102,Robbery,42,M,Blunt Object,Property Crime,8,1,26-04-2025
2189,06-04-2025,04-04-2025,04-04-2025 17:35,Bangalore,104,Cyber Crime,29,F,None,Other Crime,8,1,05-05-2025
2190,06-12-2024,04-12-2024,04-12-2024 10:00,Bangalore,101,Theft,23,M,Other,Property Crime,8,0,
2191,28-04-2025,26-04-2025,26-04-2025 13:04,Chennai,105,Vandalism,23,F,None,Property Crime,2,1,19-06-2025
2192,15-02-2025,13-02-2025,13-02-2025 02:32,Delhi,101,Theft,40,M,None,Property Crime,3,1,21-04-2025
2193,04-01-2025,02-01-2025,02-01-2025 18:10,Delhi,105,Vandalism,18,M,Other,Property Crime,4,1,28-06-2025
2194,23-09-2024,22-09-2024,22-09-2024 15:21,Delhi,101,Theft,26,F,Other,Property Crime,8,1,25-06-2025
2195,12-07-2025,09-07-2025,09-07-2025 19:53,Delhi,103,Homicide,24,M,Knife,Violent Crime,15,0,
2196,25-04-2025,25-04-2025,25-04-2025 18:11,Mumbai,100,Assault,32,M,None,Violent Crime,2,0,
2197,16-01-2025,13-01-2025,13-01-2025 08:14,Mumbai,102,Robbery,14,M,Knife,Property Crime,8,0,
2198,29-07-2025,27-07-2025,27-07-2025 00:54,Chennai,100,Assault,48,M,Blunt Object,Violent Crime,3,0,
2199,23-12-2024,23-12-2024,23-12-2024 03:35,Kolkata,102,Robbery,24,F,Knife,Property Crime,8,0,
2200,25-08-2024,23-08-2024,23-08-2024 12:25,Bangalore,101,Theft,27,F,Other,Property Crime,3,0,
2201,13-05-2025,10-05-2025,10-05-2025 18:24,Mumbai,103,Homicide,22,M,Firearm,Violent Crime,15,0,
2202,15-02-2025,13-02-2025,13-02-2025 03:34,Hyderabad,103,Homicide,33,M,Firearm,Violent Crime,15,0,
2203,08-07-2025,07-07-2025,07-07-2025 08:30,Kolkata,101,Theft,26,M,None,Property Crime,7,1,18-07-2025
2204,23-04-2025,20-04-2025,20-04-2025 16:48,Bangalore,101,Theft,34,F,Other,Property Crime,4,0,
2205,12-09-2024,11-09-2024,11-09-2024 01:01,Bangalore,101,Theft,28,M,None,Property Crime,6,0,
2206,05-09-2024,02-09-2024,02-09-2024 03:22,Delhi,100,Assault,16,F,None,Violent Crime,3,0,
2207,04-01-2025,01-01-2025,01-01-2025 01:36,Chennai,103,Homicide,35,M,Poison,Violent Crime,15,0,
2208,24-05-2025,22-05-2025,22-05-2025 23:43,Jaipur,101,Theft,24,M,Other,Property Crime,8,0,
2209,02-12-2024,30-11-2024,30-11-2024 23:29,Chennai,105,Vandalism,51,F,None,Property Crime,4,0,
2210,23-09-2024,22-09-2024,22-09-2024 00:48,Delhi,103,Homicide,34,F,Poison,Violent Crime,15,0,
2211,24-07-2025,22-07-2025,22-07-2025 10:39,Mumbai,100,Assault,40,F,Knife,Violent Crime,6,0,
2212,01-11-2024,30-10-2024,30-10-2024 13:09,Chennai,100,Assault,44,M,Knife,Violent Crime,6,1,04-12-2024
2213,17-01-2025,14-01-2025,14-01-2025 15:00,Bangalore,103,Homicide,13,M,Knife,Violent Crime,15,0,
2214,26-11-2024,24-11-2024,24-11-2024 02:49,Jaipur,101,Theft,25,M,Other,Property Crime,2,0,
2215,25-04-2025,23-04-2025,23-04-2025 02:23,Kolkata,102,Robbery,29,M,Knife,Property Crime,5,1,02-05-2025
2216,02-09-2024,30-08-2024,30-08-2024 00:01,Mumbai,102,Robbery,18,M,Blunt Object,Property Crime,5,1,19-02-2025
2217,27-07-2025,27-07-2025,27-07-2025 19:37,Bangalore,100,Assault,10,F,Knife,Violent Crime,2,1,03-08-2025
2218,17-09-2024,15-09-2024,15-09-2024 12:30,Delhi,102,Robbery,32,M,Knife,Property Crime,8,0,
2219,16-04-2025,13-04-2025,13-04-2025 15:31,Mumbai,107,Terrorism,40,F,Explosives,Violent Crime,20,0,
2220,21-09-2024,19-09-2024,19-09-2024 18:11,Delhi,100,Assault,27,M,None,Violent Crime,6,1,27-03-2025
2221,11-03-2025,10-03-2025,10-03-2025 18:21,Chennai,105,Vandalism,19,M,None,Property Crime,2,0,
2222,09-10-2024,09-10-2024,09-10-2024 19:57,Chennai,105,Vandalism,38,M,Other,Property Crime,7,0,
2223,12-06-2025,09-06-2025,09-06-2025 22:12,Mumbai,102,Robbery,32,M,Firearm,Property Crime,10,0,
2224,31-03-2025,31-03-2025,31-03-2025 19:08,Bangalore,100,Assault,43,M,Knife,Violent Crime,7,1,29-07-2025
2225,11-05-2025,11-05-2025,11-05-2025 22:42,Bangalore,100,Assault,25,M,Knife,Violent Crime,3,1,12-07-2025
2226,29-11-2024,29-11-2024,29-11-2024 09:47,Ahmedabad,105,Vandalism,50,M,None,Property Crime,2,1,10-03-2025
2227,17-12-2024,17-12-2024,17-12-2024 21:37,Pune,100,Assault,18,M,Knife,Violent Crime,7,0,
2228,04-02-2025,02-02-2025,02-02-2025 02:34,Delhi,101,Theft,25,M,Other,Property Crime,6,0,
2229,05-10-2024,05-10-2024,05-10-2024 02:21,Bangalore,101,Theft,25,M,Other,Property Crime,3,0,
2230,10-02-2025,07-02-2025,07-02-2025 12:42,Delhi,104,Cyber Crime,35,F,None,Other Crime,3,1,07-06-2025
2231,21-10-2024,19-10-2024,19-10-2024 09:12,Mumbai,102,Robbery,39,F,Firearm,Property Crime,10,0,
2232,22-03-2025,22-03-2025,22-03-2025 17:37,Kolkata,101,Theft,42,M,Other,Property Crime,3,0,
2233,20-04-2025,18-04-2025,18-04-2025 13:43,Mumbai,104,Cyber Crime,23,F,None,Other Crime,4,1,28-06-2025
2234,17-10-2024,15-10-2024,15-10-2024 18:11,Bangalore,100,Assault,37,M,None,Violent Crime,4,0,
2235,08-04-2025,08-04-2025,08-04-2025 08:13,Delhi,101,Theft,18,M,Other,Property Crime,4,1,22-04-2025
2236,20-12-2024,19-12-2024,19-12-2024 10:29,Pune,105,Vandalism,42,F,None,Property Crime,7,1,23-12-2024
2237,12-04-2025,12-04-2025,12-04-2025 22:52,Ahmedabad,102,Robbery,47,M,Knife,Property Crime,6,1,13-04-2025
2238,28-12-2024,27-12-2024,27-12-2024 08:38,Delhi,100,Assault,31,F,Knife,Violent Crime,5,0,
2239,16-08-2024,15-08-2024,15-08-2024 17:07,Mumbai,106,Kidnapping,31,M,None,Violent Crime,5,1,15-06-2025
2240,18-03-2025,16-03-2025,16-03-2025 18:54,Jaipur,102,Robbery,16,M,Firearm,Property Crime,10,0,
2241,07-07-2025,07-07-2025,07-07-2025 14:35,Mumbai,107,Terrorism,31,F,Firearm,Violent Crime,20,0,
2242,30-01-2025,27-01-2025,27-01-2025 16:25,Mumbai,101,Theft,42,F,Other,Property Crime,6,0,
2243,14-02-2025,13-02-2025,13-02-2025 16:18,Chennai,102,Robbery,25,M,Blunt Object,Property Crime,5,0,
2244,08-11-2024,05-11-2024,05-11-2024 22:54,Mumbai,100,Assault,20,M,Knife,Violent Crime,8,0,
2245,20-08-2024,20-08-2024,20-08-2024 23:35,Delhi,102,Robbery,29,F,Blunt Object,Property Crime,3,0,
2246,30-07-2025,28-07-2025,28-07-2025 08:03,Delhi,101,Theft,23,F,None,Property Crime,8,0,
2247,12-12-2024,12-12-2024,12-12-2024 22:38,Bangalore,102,Robbery,31,M,Blunt Object,Property Crime,5,0,
2248,27-04-2025,26-04-2025,26-04-2025 02:12,Mumbai,102,Robbery,18,F,Blunt Object,Property Crime,4,1,26-05-2025
2249,12-08-2024,10-08-2024,10-08-2024 00:07,Chennai,106,Kidnapping,33,F,None,Violent Crime,4,0,
2250,11-06-2025,09-06-2025,09-06-2025 18:59,Bangalore,103,Homicide,30,M,Knife,Violent Crime,15,0,
2251,22-05-2025,21-05-2025,21-05-2025 03:30,Kolkata,105,Vandalism,28,M,Other,Property Crime,5,1,08-07-2025
2252,17-12-2024,16-12-2024,16-12-2024 15:02,Bangalore,104,Cyber Crime,23,M,None,Other Crime,8,0,
2253,19-12-2024,17-12-2024,17-12-2024 00:12,Chennai,100,Assault,38,F,Blunt Object,Violent Crime,2,1,17-06-2025
2254,13-12-2024,13-12-2024,13-12-2024 21:57,Mumbai,100,Assault,32,M,Blunt Object,Violent Crime,8,0,
2255,01-04-2025,31-03-2025,31-03-2025 13:20,Delhi,107,Terrorism,38,F,Firearm,Violent Crime,20,0,
2256,25-06-2025,23-06-2025,23-06-2025 10:34,Kolkata,101,Theft,10,M,Other,Property Crime,5,1,17-07-2025
2257,27-01-2025,25-01-2025,25-01-2025 14:30,Mumbai,101,Theft,19,F,None,Property Crime,8,0,
2258,04-07-2025,02-07-2025,02-07-2025 00:29,Hyderabad,101,Theft,21,F,None,Property Crime,8,1,30-07-2025
2259,27-11-2024,24-11-2024,24-11-2024 09:50,Delhi,101,Theft,21,F,Other,Property Crime,2,1,15-04-2025
2260,26-07-2025,24-07-2025,24-07-2025 11:46,Bangalore,103,Homicide,32,M,Firearm,Violent Crime,15,0,
2261,19-02-2025,18-02-2025,18-02-2025 02:37,Mumbai,106,Kidnapping,41,M,Blunt Object,Violent Crime,4,0,
2262,14-05-2025,12-05-2025,12-05-2025 20:10,Kolkata,100,Assault,30,M,Knife,Violent Crime,5,1,03-06-2025
2263,06-01-2025,06-01-2025,06-01-2025 11:59,Pune,102,Robbery,41,M,Knife,Property Crime,5,1,30-03-2025
2264,08-03-2025,06-03-2025,06-03-2025 16:49,Bangalore,102,Robbery,38,F,Firearm,Property Crime,10,1,03-08-2025
2265,28-06-2025,28-06-2025,28-06-2025 12:44,Bangalore,102,Robbery,20,M,Knife,Property Crime,6,0,
2266,16-04-2025,15-04-2025,15-04-2025 03:32,Bangalore,101,Theft,44,F,Other,Property Crime,8,0,
2267,04-12-2024,03-12-2024,03-12-2024 01:55,Mumbai,101,Theft,22,F,None,Property Crime,7,1,24-12-2024
2268,08-03-2025,07-03-2025,07-03-2025 20:18,Ahmedabad,106,Kidnapping,37,M,None,Violent Crime,6,0,
2269,08-07-2025,08-07-2025,08-07-2025 23:11,Mumbai,100,Assault,32,F,Knife,Violent Crime,2,0,
2270,04-02-2025,03-02-2025,03-02-2025 15:24,Delhi,107,Terrorism,33,M,Explosives,Violent Crime,20,0,
2271,07-10-2024,05-10-2024,05-10-2024 08:25,Jaipur,103,Homicide,29,F,Knife,Violent Crime,15,1,02-06-2025
2272,22-09-2024,22-09-2024,22-09-2024 14:48,Delhi,107,Terrorism,19,F,Explosives,Violent Crime,20,1,07-02-2025
2273,13-01-2025,12-01-2025,12-01-2025 00:39,Jaipur,102,Robbery,26,M,Knife,Property Crime,5,1,29-03-2025
2274,20-11-2024,20-11-2024,20-11-2024 00:50,Delhi,105,Vandalism,42,M,Other,Property Crime,7,1,15-01-2025
2275,07-11-2024,04-11-2024,04-11-2024 09:42,Mumbai,107,Terrorism,52,M,Explosives,Violent Crime,20,0,
2276,03-06-2025,03-06-2025,03-06-2025 23:04,Bangalore,103,Homicide,18,M,Poison,Violent Crime,15,1,13-06-2025
2277,17-08-2024,16-08-2024,16-08-2024 02:49,Kolkata,100,Assault,32,M,Blunt Object,Violent Crime,2,1,24-11-2024
2278,28-09-2024,27-09-2024,27-09-2024 01:54,Hyderabad,101,Theft,39,M,None,Property Crime,3,0,
2279,27-11-2024,25-11-2024,25-11-2024 19:49,Ahmedabad,102,Robbery,32,F,Knife,Property Crime,5,0,
2280,19-11-2024,19-11-2024,19-11-2024 20:31,Mumbai,101,Theft,22,F,None,Property Crime,2,1,09-12-2024
2281,12-07-2025,11-07-2025,11-07-2025 21:54,Delhi,105,Vandalism,21,M,Other,Property Crime,7,1,04-08-2025
2282,18-11-2024,15-11-2024,15-11-2024 16:08,Ahmedabad,105,Vandalism,35,F,Other,Property Crime,3,0,
2283,24-05-2025,22-05-2025,22-05-2025 15:37,Kolkata,100,Assault,15,M,Blunt Object,Violent Crime,2,1,25-06-2025
2284,11-11-2024,08-11-2024,08-11-2024 15:22,Delhi,101,Theft,40,F,None,Property Crime,6,1,05-06-2025
2285,19-04-2025,19-04-2025,19-04-2025 13:29,Kolkata,100,Assault,27,M,None,Violent Crime,6,0,
2286,10-11-2024,07-11-2024,07-11-2024 17:27,Mumbai,100,Assault,36,M,None,Violent Crime,8,0,
2287,17-11-2024,15-11-2024,15-11-2024 17:33,Hyderabad,105,Vandalism,36,M,Other,Property Crime,7,0,
2288,01-06-2025,30-05-2025,30-05-2025 23:06,Mumbai,101,Theft,52,M,Other,Property Crime,4,1,07-07-2025
2289,15-02-2025,15-02-2025,15-02-2025 19:24,Mumbai,107,Terrorism,40,F,Explosives,Violent Crime,20,0,
2290,04-07-2025,04-07-2025,04-07-2025 23:55,Ludhiana,107,Terrorism,13,M,Explosives,Violent Crime,20,1,09-07-2025
2291,27-03-2025,25-03-2025,25-03-2025 22:18,Delhi,100,Assault,39,M,None,Violent Crime,8,0,
2292,14-03-2025,13-03-2025,13-03-2025 15:19,Mumbai,107,Terrorism,24,F,Firearm,Violent Crime,20,1,29-05-2025
2293,27-02-2025,25-02-2025,25-02-2025 22:07,Delhi,102,Robbery,39,M,Knife,Property Crime,2,0,
2294,04-05-2025,01-05-2025,01-05-2025 21:15,Chennai,102,Robbery,13,F,Firearm,Property Crime,10,0,
2295,01-05-2025,29-04-2025,29-04-2025 12:05,Hyderabad,103,Homicide,29,F,Firearm,Violent Crime,15,1,19-07-2025
2296,23-09-2024,22-09-2024,22-09-2024 17:44,Mumbai,101,Theft,10,F,None,Property Crime,3,0,
2297,02-11-2024,01-11-2024,01-11-2024 11:16,Mumbai,101,Theft,23,M,None,Property Crime,7,1,05-03-2025
2298,04-12-2024,03-12-2024,03-12-2024 13:20,Hyderabad,104,Cyber Crime,32,M,None,Other Crime,4,1,21-06-2025
2299,20-09-2024,17-09-2024,17-09-2024 01:53,Mumbai,106,Kidnapping,32,F,Blunt Object,Violent Crime,4,0,
2300,25-09-2024,22-09-2024,22-09-2024 08:45,Mumbai,101,Theft,28,F,Other,Property Crime,3,0,
2301,03-05-2025,30-04-2025,30-04-2025 20:37,Delhi,100,Assault,21,M,Blunt Object,Violent Crime,5,1,12-06-2025
2302,23-06-2025,20-06-2025,20-06-2025 20:58,Bangalore,100,Assault,10,M,None,Violent Crime,4,1,18-07-2025
2303,08-09-2024,05-09-2024,05-09-2024 01:42,Ludhiana,100,Assault,15,F,None,Violent Crime,4,1,22-02-2025
2304,12-10-2024,09-10-2024,09-10-2024 01:58,Mumbai,102,Robbery,30,F,Firearm,Property Crime,10,1,03-11-2024
2305,16-04-2025,13-04-2025,13-04-2025 19:40,Mumbai,105,Vandalism,18,M,Other,Property Crime,8,1,21-05-2025
2306,24-12-2024,21-12-2024,21-12-2024 00:02,Mumbai,100,Assault,36,M,Blunt Object,Violent Crime,3,1,25-01-2025
2307,18-10-2024,15-10-2024,15-10-2024 00:14,Chennai,101,Theft,24,M,Other,Property Crime,4,0,
2308,07-06-2025,04-06-2025,04-06-2025 18:34,Bangalore,101,Theft,28,M,Other,Property Crime,8,0,
2309,26-10-2024,23-10-2024,23-10-2024 17:56,Mumbai,106,Kidnapping,30,F,None,Violent Crime,8,1,06-07-2025
2310,02-03-2025,27-02-2025,27-02-2025 21:37,Mumbai,101,Theft,20,M,None,Property Crime,6,0,
2311,24-01-2025,24-01-2025,24-01-2025 01:08,Mumbai,101,Theft,45,M,Other,Property Crime,7,0,
2312,08-06-2025,05-06-2025,05-06-2025 14:33,Kolkata,103,Homicide,37,M,Firearm,Violent Crime,15,0,
2313,28-09-2024,28-09-2024,28-09-2024 06:13,Ludhiana,101,Theft,33,M,Other,Property Crime,5,1,24-12-2024
2314,02-11-2024,01-11-2024,01-11-2024 07:11,Hyderabad,101,Theft,33,F,Other,Property Crime,5,0,
2315,08-01-2025,06-01-2025,06-01-2025 18:20,Kolkata,102,Robbery,27,F,Knife,Property Crime,4,0,
2316,19-11-2024,17-11-2024,17-11-2024 21:13,Mumbai,101,Theft,29,F,Other,Property Crime,2,0,
2317,07-09-2024,07-09-2024,07-09-2024 21:39,Delhi,100,Assault,37,M,None,Violent Crime,3,0,
2318,03-02-2025,02-02-2025,02-02-2025 21:10,Bangalore,102,Robbery,33,M,Firearm,Property Crime,10,1,03-02-2025
2319,21-06-2025,18-06-2025,18-06-2025 22:20,Chennai,103,Homicide,24,M,Firearm,Violent Crime,15,0,
2320,22-02-2025,22-02-2025,22-02-2025 21:17,Ahmedabad,102,Robbery,54,F,Firearm,Property Crime,10,0,
2321,30-03-2025,30-03-2025,30-03-2025 01:44,Bangalore,100,Assault,42,M,None,Violent Crime,4,1,18-07-2025
2322,26-08-2024,24-08-2024,24-08-2024 21:38,Hyderabad,103,Homicide,39,M,Firearm,Violent Crime,15,0,
2323,16-03-2025,14-03-2025,14-03-2025 01:38,Pune,102,Robbery,45,M,Blunt Object,Property Crime,4,0,
2324,11-12-2024,08-12-2024,08-12-2024 03:19,Mumbai,106,Kidnapping,39,M,Blunt Object,Violent Crime,8,0,
2325,27-04-2025,24-04-2025,24-04-2025 13:34,Mumbai,101,Theft,35,M,None,Property Crime,2,0,
2326,11-12-2024,09-12-2024,09-12-2024 06:38,Delhi,104,Cyber Crime,30,M,None,Other Crime,2,0,
2327,23-07-2025,23-07-2025,23-07-2025 01:37,Mumbai,104,Cyber Crime,18,M,None,Other Crime,5,1,01-08-2025
2328,24-02-2025,22-02-2025,22-02-2025 23:26,Chennai,101,Theft,40,M,Other,Property Crime,5,1,01-05-2025
2329,05-04-2025,04-04-2025,04-04-2025 10:52,Bangalore,104,Cyber Crime,17,M,None,Other Crime,8,0,
2330,21-07-2025,18-07-2025,18-07-2025 03:39,Mumbai,102,Robbery,10,M,Firearm,Property Crime,10,0,
